release_date,production_cost,domestic_gross,worldwide_gross,opening_weekend,genre
1995,175.0M,88.2M,264.2M,46.5M,Action
1997,200.0M,659.4M,"2,208.0M",28.6M,Drama
1998,140.0M,201.6M,554.6M,24.2M,Adventure
1999,145.0M,171.1M,448.2M,71.3M,Adventure
1999,175.0M,113.8M,221.2M,70.8M,Adventure
2001,151.5M,198.5M,449.2M,25.6M,Action
2002,140.0M,190.4M,441.8M,92.6M,Action
2002,142.0M,160.9M,431.9M,103.3M,Action
2003,150.0M,281.6M,738.6M,82.4M,Action
2003,170.0M,150.4M,433.1M,77.1M,Action
2003,140.0M,305.4M,654.3M,77.8M,Adventure
2003,150.0M,139.3M,427.3M,26.2M,Action
2004,170.0M,120.2M,300.2M,11.1M,Action
2004,150.0M,133.3M,483.2M,17.1M,Action
2004,200.0M,373.5M,794.7M,134.0M,Adventure
2004,170.0M,188.6M,312.7M,10.3M,Adventure
2004,155.0M,34.3M,167.3M,32.2M,Action
2005,145.0M,68.7M,121.6M,141.1M,Adventure
2005,150.0M,205.3M,358.9M,47.2M,Action
2005,150.0M,206.5M,475.8M,32.7M,Adventure
2005,150.0M,135.4M,310.0M,25.1M,Adventure
2005,150.0M,290.2M,886.7M,85.7M,Adventure
2005,180.0M,291.7M,720.5M,39.2M,Adventure
2005,207.0M,218.1M,550.5M,79.2M,Adventure
2006,150.0M,133.5M,399.4M,12.4M,Action
2006,160.0M,60.7M,181.7M,69.4M,Adventure
2006,210.0M,234.4M,459.3M,41.0M,Action
2006,232.0M,200.1M,391.1M,45.4M,Adventure
2006,225.0M,423.3M,"1,066.2M",135.6M,Adventure
2006,149.0M,64.7M,179.4M,59.3M,Adventure
2007,258.0M,336.5M,894.9M,56.2M,Adventure
2007,160.0M,322.7M,807.3M,66.3M,Adventure
2007,300.0M,309.4M,961.0M,84.6M,Adventure
2007,175.0M,100.3M,174.1M,42.2M,Comedy
2007,150.0M,206.4M,626.5M,91.6M,Adventure
2007,151.0M,319.2M,708.3M,46.6M,Action
2007,150.0M,292.1M,939.6M,47.0M,Adventure
2007,180.0M,140.1M,256.6M,31.7M,Action
2007,150.0M,126.6M,287.6M,100.1M,Adventure
2007,150.0M,82.3M,195.1M,148.0M,Adventure
2007,205.0M,70.1M,367.3M,66.4M,Adventure
2007,150.0M,256.4M,585.5M,55.5M,Horror
2008,186.0M,318.6M,585.2M,59.3M,Adventure
2008,225.0M,141.6M,417.3M,65.6M,Adventure
2008,185.0M,317.1M,786.6M,63.1M,Adventure
2008,180.0M,223.8M,532.5M,36.4M,Adventure
2008,150.0M,227.9M,624.2M,65.7M,Action
2008,185.0M,533.7M,998.6M,61.0M,Action
2008,175.0M,102.5M,405.8M,64.8M,Adventure
2008,150.0M,180.2M,599.7M,47.7M,Adventure
2008,230.0M,169.4M,591.7M,55.8M,Action
2008,150.0M,114.1M,328.0M,62.1M,Adventure
2008,160.0M,127.5M,329.6M,7.6M,Drama
2009,175.0M,198.4M,381.7M,14.1M,Adventure
2009,150.0M,179.9M,374.8M,114.8M,Action
2009,140.0M,257.7M,386.8M,36.0M,Adventure
2009,150.0M,133.4M,490.9M,29.7M,Thriller/Suspense
2009,200.0M,125.3M,365.5M,31.1M,Action
2009,150.0M,177.2M,402.2M,70.0M,Adventure
2009,175.0M,293.0M,731.5M,56.2M,Adventure
2009,210.0M,402.1M,836.5M,109.0M,Action
2009,250.0M,302.1M,929.4M,26.9M,Adventure
2009,150.0M,119.4M,292.8M,53.2M,Adventure
2009,175.0M,150.2M,302.5M,20.2M,Action
2009,190.0M,137.9M,315.7M,16.2M,Drama
